Asw Synthesis (Pass 1 and Pass 2),,,,
A_sw_raw (exact attack name from the software supply-chain papers),A_sw_canonical (Pass 1),A_sw unique enteries after synthesis (Synthesis Pass 1),A_sw unique enteries after synthesis (Synthesis Pass 2),
PACKAGE CREATION / PACKAGE CONFUSION / NAME CONFUSION,,malicious_package_creation,1. package_introduction_or_misselection,
,,package_confusion,   - malicious_package_introduction,
develop_and_advertise_distinct_malicious_package,malicious_package_creation,syntactic_or_visual_name_confusion,   - package_misselection_via_confusion,
create_new_package,malicious_package_creation,built_in_or_standard_package_impersonation,   - syntactic_or_visual_name_confusion,
trojan_horse_package,malicious_package_creation,brand_or_trust_impersonation,   - built_in_or_standard_package_impersonation,
create_name_confusion_with_legitimate_package,package_confusion,dependency_confusion,   - brand_or_trust_impersonation,
,,typosquatting_or_combosquatting,   - dependency_confusion,
altering_word_order ,syntactic_or_visual_name_confusion,typosquatting,   - typosquatting_or_combosquatting,
manipulating_word_separators,syntactic_or_visual_name_confusion,source_or_package_tampering,   - typosquatting,
similarity_attack,syntactic_or_visual_name_confusion,malicious_contribution_or_merge_request,,
case_sensitivity_confusion,syntactic_or_visual_name_confusion,code_review_or_diff_evasion,2. source_repository_or_code_tampering,
built_in_package,built_in_or_standard_package_impersonation,repository_or_version_control_compromise,   - source_or_package_tampering,
brandjacking,brand_or_trust_impersonation,maintainer_role_acquisition,   - malicious_contribution_or_merge_request,
abuse_dependency_resolution_mechanism,dependency_confusion,account_takeover,   - code_review_or_diff_evasion,
,,credential_compromise,   - repository_or_version_control_compromise,
ALMOST SAME / REPEATED-NAME ENTRIES,,social_engineering,,
combosquatting,typosquatting_or_combosquatting,session_hijacking,3. trusted_identity_or_maintainer_compromise,
typosquatting,typosquatting,domain_takeover,   - maintainer_role_acquisition,
typosquatting_in_registries,typosquatting,developer_environment_compromise,   - account_takeover,
typosquatting_and_combosquatting,typosquatting_or_combosquatting,privileged_project_account_compromise,   - credential_compromise,
dependency_confusion,dependency_confusion,maintainer_role_abuse,   - social_engineering,
dependency_confusion_attack,dependency_confusion,package_ownership_transfer,   - session_hijacking,
,,signing_identity_compromise,   - domain_takeover,
SOURCE / REPOSITORY / CODE TAMPERING,,build_time_code_injection,   - developer_environment_compromise,
,,malicious_build_execution,   - privileged_project_account_compromise,
subvert_legitimate_package,source_or_package_tampering,build_job_tampering,   - maintainer_role_abuse,
inject_into_sources_of_legitimate_package,source_or_package_tampering,build_system_compromise,   - package_ownership_transfer,
infect_existing_package,source_or_package_tampering,toolchain_compromise,,
inject_into_source,source_or_package_tampering,malicious_package_distribution,4. build_or_toolchain_compromise,
code_injection,source_or_package_tampering,package_reference_hijacking,   - build_time_code_injection,
introduce_malicious_code_through_hypocrite_merge_request,malicious_contribution_or_merge_request,download_or_network_redirection,   - malicious_build_execution,
pull_request_as_contributor,malicious_contribution_or_merge_request,version_downgrade_attack,   - build_job_tampering,
exploit_rendering_weakness,code_review_or_diff_evasion,hosting_or_repository_compromise,   - build_system_compromise,
exploit_unicode_bidirectional_algorithm,code_review_or_diff_evasion,repository_or_mirror_poisoning,   - toolchain_compromise,
use_homoglyphs,code_review_or_diff_evasion,version_reuse_attack,,
prevent_display_of_file_differences,code_review_or_diff_evasion,package_tampering,5. distribution_hosting_or_update_compromise,
hide_in_generated_compiled_minified_code,code_review_or_diff_evasion,signature_system_compromise,   - malicious_package_distribution,
tamper_with_version_control_system,repository_or_version_control_compromise,vulnerability_exploitation,   - package_reference_hijacking,
compromise_version_control_system,repository_or_version_control_compromise,configuration_weakness_exploitation,   - download_or_network_redirection,
inject_into_repository_system,repository_or_version_control_compromise,malicious_component_compromise,   - version_downgrade_attack,
,,memory_safety_vulnerability_exploitation,   - hosting_or_repository_compromise,
,,unmaintained_or_legacy_component_exploitation,   - repository_or_mirror_poisoning,
ACCOUNT / MAINTAINER / TRUSTED ACCESS COMPROMISE,,,   - version_reuse_attack,
,,,   - package_tampering,
contribute_as_maintainer,maintainer_role_acquisition,,,
take_over_legitimate_account,account_takeover,,6. signing_or_verification_compromise,
reuse_of_compromised_credentials,credential_compromise,,   - signing_identity_compromise,
bruteforce,credential_compromise,,   - signature_system_compromise,
reuse_of_leaked_api_tokens,credential_compromise,,,
social_engineering_to_obtain_credentials,social_engineering,,7. vulnerability_or_configuration_exploitation,
reuse_of_existing_session,session_hijacking,,   - vulnerability_exploitation,
resurrect_expired_domain_associated_with_legitimate_account,domain_takeover,,   - configuration_weakness_exploitation,
become_a_maintainer,maintainer_role_acquisition,,   - malicious_component_compromise,
compromise_maintainer_system,developer_environment_compromise,,   - memory_safety_vulnerability_exploitation,
compromise_user_project_maintainer_administrator,privileged_project_account_compromise,,   - unmaintained_or_legacy_component_exploitation,
become_a_maintainer,maintainer_role_acquisition,,,
distribute_as_package_maintainer,maintainer_role_abuse,,,
become_a_maintainer,maintainer_role_acquisition,,,
bribe_or_blackmail_legitimate_user,social_engineering,,,
commit_as_maintainer,maintainer_role_abuse,,,
weak_or_compromised_credentials_or_api_tokens,credential_compromise,,,
social_engineering_to_become_maintainer,social_engineering,,,
package_maintainer_account_hijacking,account_takeover,,,
ownership_transfer,package_ownership_transfer,,,
account_takeover,account_takeover,,,
phishing,social_engineering,,,
credential_stuffing,credential_compromise,,,
certificate_theft,signing_identity_compromise,,,
,,,,
,,,,
BUILD PROCESS / BUILD SYSTEM / TOOL COMPROMISE,,,,
,,,,
inject_during_build_of_legitimate_package,build_time_code_injection,,,
inject_during_the_build,build_time_code_injection,,,
run_malicious_build,malicious_build_execution,,,
run_malicious_build_on_shared_systems,malicious_build_execution,,,
tamper_build_job_as_maintainer,build_job_tampering,,,
tamper_with_exposed_build_system,build_system_compromise,,,
compromise_build_system,build_system_compromise,,,
compromised_tools,toolchain_compromise,,,
,,,,
,,,,
DISTRIBUTION / HOSTING / MIRROR / UPDATE / REFERENCE ATTACKS,,,,
,,,,
distribute_malicious_version_of_legitimate_package,malicious_package_distribution,,,
dangling_reference,package_reference_hijacking,,,
mask_legitimate_package,package_reference_hijacking,,,
mitm_attack,download_or_network_redirection,,,
dns_cache_poisoning,download_or_network_redirection,,,
tamper_legitimate_url,download_or_network_redirection,,,
prevent_update_to_non_vulnerable_version,version_downgrade_attack,,,
inject_into_hosting_system,hosting_or_repository_compromise,,,
compromise_hosting_system,hosting_or_repository_compromise,,,
manipulate_package_download,download_or_network_redirection,,,
deploy_in_alternative_repository_or_mirror,repository_or_mirror_poisoning,,,
package_redirection_hijacking,package_reference_hijacking,,,
mirror_package_override,repository_or_mirror_poisoning,,,
package_reference_attack,package_reference_hijacking,,,
ghost_package_attack_in_mirrors,repository_or_mirror_poisoning,,,
package_version_downgrade_attack,version_downgrade_attack,,,
package_version_reuse_attack,version_reuse_attack,,,
package_tampering_attack,package_tampering,,,
package_version_downgrade,version_downgrade_attack,,,
package_version_reuse,version_reuse_attack,,,
exploitation_of_signature_system,signature_system_compromise,,,
,,,,
,,,,
VULNERABILITY / CONFIGURATION / COMPONENT EXPLOITATION,,,,
,,,,
make_immature_vulnerability_exploitable,vulnerability_exploitation,,,
exploit_weak_configuration,configuration_weakness_exploitation,,,
exploit_vulnerabilities,vulnerability_exploitation,,,
infect_through_malicious_component,malicious_component_compromise,,,
use_after_free,memory_safety_vulnerability_exploitation,,,
exploit_vulnerabilities,vulnerability_exploitation,,,
package_use_after_free,memory_safety_vulnerability_exploitation,,,
exploiting_unmaintained_legacy_code,unmaintained_or_legacy_component_exploitation,,,
misconfigurations,configuration_weakness_exploitation,,,
,,,,
Avlsi Synthesis (Pass 1 and Pass 2),,,,
A_vlsi (exact names from the papers),A_vlsi_canonical (Pass 1),A_vlsi unique enteries after synthesis (Synthesis Pass 1),A_vlsi unique enteries after synthesis (Synthesis Pass 2),
,,,,
IP THEFT / MISUSE / CLONING / COUNTERFEITING,,ip_piracy_or_misuse,1. ip_theft_misuse_or_counterfeiting,
ip_theft_and_misuse,ip_piracy_or_misuse,reverse_engineering,   - ip_piracy_or_misuse,
ip_misuse,ip_piracy_or_misuse,overbuilding,   - reverse_engineering,
reverse_engineering,reverse_engineering,cloning_or_counterfeiting,   - overbuilding,
over_building,overbuilding,physical_information_extraction_or_exploitation,   - cloning_or_counterfeiting,
cloning,cloning_or_counterfeiting,ic_design_tampering,   - physical_information_extraction_or_exploitation,
counterfeiting,cloning_or_counterfeiting,pre_fabrication_design_tampering,,
physical_information_exploitation,physical_information_extraction_or_exploitation,processor_design_modification,2. design_tampering_or_malicious_modification,
,,system_disablement,   - ic_design_tampering,
IC DESIGN TAMPERING / MALICIOUS MODIFICATION,,logic_bomb,   - pre_fabrication_design_tampering,
ic_tamper,ic_design_tampering,information_leakage_or_exfiltration,   - processor_design_modification,
ic_design_tamper,ic_design_tampering,hardware_or_security_backdoor,,
pre_fabrication_malicious_alteration,pre_fabrication_design_tampering,privilege_escalation,3. hardware_trojan_backdoor_or_logic_bomb,
malicious_processor_modification,processor_design_modification,hardware_trojan_insertion,   - logic_bomb,
system_disablement,system_disablement,firmware_or_embedded_trojan_insertion,   - hardware_or_security_backdoor,
,,trojaned_ic_substitution,   - hardware_trojan_insertion,
BACKDOOR / LOGIC BOMB / ACCESS ABUSE,,mask_level_trojan_insertion,   - firmware_or_embedded_trojan_insertion,
logic_bomb,logic_bomb,taxonomy_label_review,   - mask_level_trojan_insertion,
information_leak_backdoor,information_leakage_or_exfiltration,functional_trojan,   - functional_trojan,
hidden_hardware_backdoor,hardware_or_security_backdoor,parametric_trojan,   - parametric_trojan,
security_backdoor,hardware_or_security_backdoor,layout_changing_trojan,   - layout_changing_trojan,
covert_information_leakage,information_leakage_or_exfiltration,layout_preserving_trojan,   - layout_preserving_trojan,
privilege_escalation,privilege_escalation,externally_activated_trojan,   - externally_activated_trojan,
login_backdoor,hardware_or_security_backdoor,internally_activated_trojan,   - internally_activated_trojan,
password_stealing,information_leakage_or_exfiltration,always_on_trojan,   - always_on_trojan,
,,condition_based_trojan,   - condition_based_trojan,
HARDWARE TROJAN TAXONOMY AND VARIANTS,,logic_triggered_trojan,   - logic_triggered_trojan,
hardware_trojan_insertion,hardware_trojan_insertion,sensor_triggered_trojan,   - sensor_triggered_trojan,
hidden_hardware_trojan_program,hardware_trojan_insertion,information_leakage_trojan,   - information_leakage_trojan,
firmware_trojan_insertion,firmware_or_embedded_trojan_insertion,rtl_level_trojan,   - rtl_level_trojan,
trojan_ic_substitution,trojaned_ic_substitution,gate_level_trojan,   - gate_level_trojan,
