summary_section,item,count
overall_feasibility_level,Low,311
overall_feasibility_level,Medium,346
overall_feasibility_level,High,60
high_by_A_sw,build_or_toolchain_compromise,30
high_by_A_sw,vulnerability_or_configuration_exploitation,30
high_by_M_sw,build_or_toolchain_execution_control,30
high_by_M_sw,vulnerability_or_configuration_based_control,30
high_by_A_vlsi,design_tampering_or_malicious_modification,28
high_by_A_vlsi,access_abuse_or_system_disruption,32
high_by_stage,stage_1_high_level_synthesis,8
high_by_stage,stage_2_logic_synthesis,8
high_by_stage,stage_3_post_synthesis_verification,8
high_by_stage,stage_4_design_for_testability,8
high_by_stage,stage_5_placement_and_routing,8
high_by_stage,stage_6_static_timing_analysis,8
high_by_stage,stage_7_physical_verification_and_signoff,8
high_by_stage,stage_9_manufacturing_testing,4
high_by_outcome,integrity,30
high_by_outcome,availability,30
