node_id,parent_id,level,paper_label,normalized_name,our_use,asw_definition,candidate_M,mechanism_definition
BKC-000,ROOT,0,Injection of Malicious Code into Dependency Tree,injection_of_malicious_code_into_dependency_tree,root,Root goal of the attack tree; not used as an individual SWSC attack vector.,not_used_root,Root node only. It is not used as a mechanism or attack vector in the Prolog model.
BKC-100,BKC-000,1,Create New Package,create_new_package,A_sw,An attack vector in which the attacker creates and publishes a new package so that downstream users or tools may adopt it as a dependency.,attacker_controlled_malicious_software_artifact,The attacker controls a malicious software artifact that can be consumed by a downstream user or toolchain.
BKC-101,BKC-100,2,Trojan Horse,trojan_horse_package,A_sw_subtype,An attack vector in which the attacker creates a package that appears useful or benign but contains malicious code.,attacker_controlled_malicious_software_artifact,The attacker controls a malicious software artifact that can be consumed by a downstream user or toolchain.
BKC-102,BKC-100,2,Typosquatting,typosquatting,A_sw_subtype,An attack vector in which the attacker creates a package name based on common spelling mistakes or small variations of a legitimate package name.,attacker_controlled_lookalike_software_artifact,"The attacker controls a software artifact that appears related to, or can be mistaken for, a legitimate artifact."
BKC-103,BKC-100,2,Use After Free,use_after_free,A_sw_subtype,"An attack vector in which the attacker reuses an abandoned or withdrawn project, package, or account identifier to deliver a malicious package.",attacker_controlled_distribution_reference,The attacker can redirect or control a software reference that downstream users or tools rely on.
BKC-200,BKC-000,1,Infect Existing Package,infect_existing_package,A_sw,"An attack vector in which the attacker compromises an existing package that already has users, contributors, or maintainers.",attacker_controlled_legitimate_software_artifact,The attacker gains control over a legitimate software artifact or its release path.
BKC-300,BKC-200,2,Inject into Source,inject_into_source,A_sw,An attack vector in which malicious code is inserted into the source code of an existing package.,attacker_controlled_source_code,"The attacker can modify source code that will later be consumed, built, or executed."
BKC-301,BKC-300,3,Pull Request as Contributor,pull_request_as_contributor,A_sw_subtype,An attack vector in which the attacker submits a malicious pull request that appears to be a benign contribution.,attacker_controlled_source_code,"The attacker can modify source code that will later be consumed, built, or executed."
BKC-302,BKC-300,3,Commit as Maintainer,commit_as_maintainer,A_sw_subtype,An attack vector in which the attacker commits malicious code using maintainer-level authority.,maintainer_level_source_control,The attacker can modify the legitimate project source code with trusted contributor or maintainer privileges.
BKC-303,BKC-302,4,Weak/Compromised Credentials or API Tokens,weak_or_compromised_credentials_or_api_tokens,A_sw_subtype,"An account-compromise attack in which weak, stolen, or exposed credentials/API tokens are used to gain maintainer-level access.",compromised_legitimate_account_control,"The attacker can act through a legitimate account and use its permissions to modify, build, or distribute software artifacts."
BKC-304,BKC-302,4,Social Engineering to Become Maintainer,social_engineering_to_become_maintainer,A_sw_subtype,An attack vector in which the attacker manipulates project trust relationships to obtain maintainer status.,maintainer_level_source_control,The attacker can modify the legitimate project source code with trusted contributor or maintainer privileges.
