A_sw_norm,row_type,mechanism_M_norm
develop_and_advertise_distinct_malicious_package,A_sw,attacker_controlled_malicious_software_artifact
create_name_confusion_with_legitimate_package,A_sw,attacker_controlled_lookalike_software_artifact
combosquatting,A_sw,attacker_controlled_lookalike_software_artifact
altering_word_order,A_sw,attacker_controlled_lookalike_software_artifact
manipulating_word_separators,A_sw,attacker_controlled_lookalike_software_artifact
typosquatting,A_sw,attacker_controlled_lookalike_software_artifact
built_in_package,A_sw,attacker_controlled_lookalike_software_artifact
brandjacking,A_sw,attacker_controlled_lookalike_software_artifact
similarity_attack,A_sw,attacker_controlled_lookalike_software_artifact
subvert_legitimate_package,A_sw,attacker_controlled_legitimate_software_artifact
inject_into_sources_of_legitimate_package,A_sw,attacker_controlled_source_code
inject_during_build_of_legitimate_package,A_sw,attacker_controlled_build_artifact
distribute_malicious_version_of_legitimate_package,A_sw,attacker_controlled_released_artifact
introduce_malicious_code_through_hypocrite_merge_request,A_sw,attacker_controlled_source_code
make_immature_vulnerability_exploitable,A_sw,attacker_controlled_source_code
exploit_rendering_weakness,A_sw,attacker_controlled_hidden_source_change
exploit_unicode_bidirectional_algorithm,A_sw,attacker_controlled_hidden_source_change
use_homoglyphs,A_sw,attacker_controlled_hidden_source_change
prevent_display_of_file_differences,A_sw,attacker_controlled_hidden_source_change
hide_in_generated_compiled_minified_code,A_sw,attacker_controlled_hidden_source_change
contribute_as_maintainer,A_sw,maintainer_level_source_control
bribe_or_blackmail_legitimate_user,A_sw,abused_legitimate_user_privileges
take_over_legitimate_account,A_sw,compromised_legitimate_account_control
reuse_of_compromised_credentials,A_sw,compromised_legitimate_account_control
bruteforce,A_sw,compromised_legitimate_account_control
reuse_of_leaked_api_tokens,A_sw,compromised_legitimate_account_control
social_engineering_to_obtain_credentials,A_sw,compromised_legitimate_account_control
reuse_of_existing_session,A_sw,compromised_legitimate_account_control
resurrect_expired_domain_associated_with_legitimate_account,A_sw,compromised_legitimate_account_control
become_a_maintainer,A_sw,maintainer_level_source_control
compromise_maintainer_system,A_sw,compromised_maintainer_system_control
exploit_weak_configuration,A_sw,compromised_maintainer_system_control
exploit_vulnerabilities,A_sw,compromised_maintainer_system_control
infect_through_malicious_component,A_sw,compromised_maintainer_system_control
tamper_with_version_control_system,A_sw,attacker_controlled_version_control_system
compromise_user_project_maintainer_administrator,A_sw,compromised_project_user_privileges
compromise_version_control_system,A_sw,attacker_controlled_version_control_system
run_malicious_build,A_sw,attacker_controlled_build_execution
tamper_build_job_as_maintainer,A_sw,maintainer_level_build_job_control
bribe_or_blackmail_legitimate_user,A_sw,abused_legitimate_user_privileges
take_over_legitimate_account,A_sw,compromised_legitimate_account_control
become_a_maintainer,A_sw,maintainer_level_build_job_control
compromise_maintainer_system,A_sw,compromised_maintainer_system_control
tamper_with_exposed_build_system,A_sw,attacker_controlled_build_system
compromise_user_project_maintainer_administrator,A_sw,compromised_project_user_privileges
bribe_or_blackmail_legitimate_user,A_sw,abused_legitimate_user_privileges
take_over_legitimate_account,A_sw,compromised_legitimate_account_control
compromise_build_system,A_sw,attacker_controlled_build_system
dangling_reference,A_sw,attacker_controlled_distribution_reference
mask_legitimate_package,A_sw,attacker_controlled_released_artifact
mitm_attack,A_sw,attacker_controlled_distribution_channel
dns_cache_poisoning,A_sw,attacker_controlled_distribution_channel
tamper_legitimate_url,A_sw,attacker_controlled_distribution_reference
abuse_dependency_resolution_mechanism,A_sw,attacker_controlled_dependency_resolution
prevent_update_to_non_vulnerable_version,A_sw,attacker_controlled_update_path
distribute_as_package_maintainer,A_sw,maintainer_level_release_control
bribe_or_blackmail_legitimate_user,A_sw,abused_legitimate_user_privileges
take_over_legitimate_account,A_sw,compromised_legitimate_account_control
become_a_maintainer,A_sw,maintainer_level_release_control
compromise_maintainer_system,A_sw,compromised_maintainer_system_control
inject_into_hosting_system,A_sw,attacker_controlled_hosting_system
compromise_user_project_maintainer_administrator,A_sw,compromised_project_user_privileges
bribe_or_blackmail_legitimate_user,A_sw,abused_legitimate_user_privileges
take_over_legitimate_account,A_sw,compromised_legitimate_account_control
compromise_hosting_system,A_sw,attacker_controlled_hosting_system
create_new_package,A_sw,attacker_controlled_malicious_software_artifact
trojan_horse_package,A_sw,attacker_controlled_malicious_software_artifact
typosquatting,A_sw,attacker_controlled_lookalike_software_artifact
use_after_free,A_sw,attacker_controlled_distribution_reference
infect_existing_package,A_sw,attacker_controlled_legitimate_software_artifact
inject_into_source,A_sw,attacker_controlled_source_code
pull_request_as_contributor,A_sw,attacker_controlled_source_code
commit_as_maintainer,A_sw,maintainer_level_source_control
weak_or_compromised_credentials_or_api_tokens,A_sw,compromised_legitimate_account_control
social_engineering_to_become_maintainer,A_sw,maintainer_level_source_control
inject_during_the_build,A_sw,attacker_controlled_build_artifact
compromise_build_system,A_sw,attacker_controlled_build_system
manipulate_package_download,A_sw,attacker_controlled_distribution_channel
run_malicious_build_on_shared_systems,A_sw,attacker_controlled_build_execution
inject_into_repository_system,A_sw,attacker_controlled_hosting_system
weak_or_compromised_credentials_or_api_tokens,A_sw,compromised_legitimate_account_control
exploit_vulnerabilities,A_sw,attacker_controlled_hosting_system
deploy_in_alternative_repository_or_mirror,A_sw,attacker_controlled_distribution_reference
package_use_after_free,A_sw,attacker_controlled_reused_package_name
package_maintainer_account_hijacking,A_sw,compromised_legitimate_account_control
package_redirection_hijacking,A_sw,attacker_controlled_distribution_reference
mirror_package_override,A_sw,attacker_controlled_mirror_resolution
case_sensitivity_confusion,A_sw,attacker_controlled_package_name_resolution
typosquatting_in_registries,A_sw,attacker_controlled_lookalike_software_artifact
package_reference_attack,A_sw,attacker_controlled_dependency_reference
ghost_package_attack_in_mirrors,A_sw,attacker_controlled_stale_mirror_artifact
dependency_confusion_attack,A_sw,attacker_controlled_dependency_resolution
package_version_downgrade_attack,A_sw,attacker_controlled_update_path
package_version_reuse_attack,A_sw,attacker_controlled_reused_version_artifact
package_tampering_attack,A_sw,attacker_controlled_package_content_tampering
ownership_transfer,A_sw,maintainer_level_release_control
account_takeover,A_sw,compromised_legitimate_account_control
phishing,A_sw,compromised_legitimate_account_control
credential_stuffing,A_sw,compromised_legitimate_account_control
typosquatting_and_combosquatting,A_sw,attacker_controlled_lookalike_software_artifact
code_injection,A_sw,attacker_controlled_source_code
exploiting_unmaintained_legacy_code,A_sw,attacker_exploitable_vulnerable_dependency
dependency_confusion,A_sw,attacker_controlled_dependency_resolution
certificate_theft,A_sw,attacker_controlled_signing_identity
ghost_package_attack_in_mirrors,A_sw,attacker_controlled_stale_mirror_artifact
package_version_downgrade,A_sw,attacker_controlled_update_path
package_version_reuse,A_sw,attacker_controlled_reused_version_artifact
exploitation_of_signature_system,A_sw,attacker_controlled_signature_verification_bypass
misconfigurations,A_sw,attacker_controlled_insecure_development_configuration
compromised_tools,A_sw,attacker_controlled_development_tool
