liu_qu_vlsi_supply_chain_survey,,,,,
vlsi_attack_vector_A,mechanism_M,source_context,outcome_O,,
IP theft and misuse,illegal_access_or_use_of_design_ip,VLSI supply chain,confidentiality,,
IC tamper,ic_functionality_or_feature_modification,VLSI supply chain,integrity,,
Reverse engineering,design_ip_extraction,design IP / chip / security system,confidentiality,,
Over-building,unauthorized_extra_chip_fabrication,foundry,confidentiality,,
Cloning,unauthorized_design_copying,design IP / VLSI supply chain,confidentiality,,
IP misuse,unauthorized_ip_use,IP licensee / design use,confidentiality,,
Counterfeiting,counterfeit_or_cloned_product_substitution,distribution / system integration,integrity;availability,,
Hardware Trojan insertion,malicious_hardware_component_insertion,foundry / system assembly / captured device,confidentiality;integrity;availability,,
Logic bomb,trojan_triggered_malicious_behavior,tampered chip,integrity;availability,,
Information leak backdoor,trojan_based_information_leakage,tampered chip,confidentiality,,
Hidden hardware Trojan program,trojan_rom_based_payload,hardware / processor,confidentiality;integrity;availability,,
IC chip replacement,counterfeit_chip_replacement,PCB / system integration,integrity;availability,,
Hidden hardware backdoor,stealthy_hardware_attack_mechanism,tampered system,confidentiality;integrity,,
Security backdoor,extra_functionality_in_hardware,IC design / IC chip,confidentiality;integrity;availability,,
IC design tamper,additional_functionality_in_implementation,RTL design / gate-level netlist / layout design,integrity,,
Hardware Trojan insertion,extra_task_without_functional_tamper,IC design verification,integrity,,
Hardware Trojan insertion,rare_event_trigger,IC design verification,integrity;availability,,
Hardware Trojan insertion,power_or_aging_trigger,digital simulation environment,integrity;availability,,
IC design tamper,unprotected_confidential_data_path,formal verification / property checking,confidentiality,,
IC design tamper,extra_behavior_beyond_specification,equivalence checking,integrity,,
Hardware Trojan insertion,redundant_logic_payload,logic-equivalent implementation,integrity,,
Hardware Trojan insertion,hard_to_excite_trigger_signal,third-party IP / suspicious netlist,integrity,,
Hardware Trojan insertion,untestable_or_suspicious_logic,third-party IP / netlist,integrity,,
secure_physical_design_avlsi,,,,,
Physical-design induced vulnerability,physical_layout_introduces_security_vulnerability,physical_design,confidentiality;integrity,,
Physical information exploitation,layout_information_exposes_security_behavior,physical_design,confidentiality,,
Layout-level side-channel leakage,layout_parasitic_side_channel_leakage,physical_layout,confidentiality,,
Layout-level side-channel leakage,crosstalk_ir_drop_leakage,physical_layout,confidentiality,,
Power side-channel vulnerability,ir_drop_of_critical_instances,placement,confidentiality,,
Power side-channel vulnerability,unbalanced_share_power_consumption,placement_and_routing,confidentiality,,
Power side-channel vulnerability,share_coupling_interference,placement,confidentiality,,
EM side-channel vulnerability,em_signature_reaches_top_metal,routing,confidentiality,,
Laser fault injection,laser_penetrates_active_region,routing,integrity;availability,,
Laser fault injection,laser_induced_single_event_transient,physical_layout,integrity;availability,,
Laser fault injection,laser_induced_single_event_upset,physical_layout,integrity;availability,,
Laser fault injection,critical_cells_near_high_switching_cells,routing,integrity;availability,,
Laser fault injection,direct_laser_intensity_to_active_region,placement_and_routing,integrity;availability,,
Laser fault injection,small_critical_cell_laser_susceptibility,placement,integrity;availability,,
Timing fault injection,path_delay_clock_skew_fault_susceptibility,placement_and_routing,integrity;availability,,
EM fault injection,connected_loop_eddy_current_susceptibility,placement_and_routing,integrity;availability,,
tehranipoor_koushanfar_hardware,,,,,
Hardware Trojan insertion,malicious_hardware_or_firmware_modification,IC design / fabrication / FPGA bitstream,confidentiality;integrity;availability,,
Firmware Trojan insertion,malicious_firmware_modification,FPGA bitstream,confidentiality;integrity;availability,,
System disablement,trojan_delayed_disable_or_destroy,system operation,availability,,
Covert information leakage,trojan_covert_information_leakage,chip / system operation,confidentiality,,
Trojan IC substitution,trojan_ic_substitution,transit / fabrication supply chain,integrity;availability,,
Mask-level Trojan insertion,trojan_mask_implantation,fabrication / mask generation,integrity,,
Pre-fabrication malicious alteration,malicious_design_alteration_before_fabrication,design / pre-fabrication,integrity,,
Hardware Trojan insertion,original_circuitry_modification,original circuitry,confidentiality;integrity;availability,,
Hardware Trojan insertion,hardware_mechanism_for_data_or_software_access,chips,confidentiality,,
Hardware Trojan taxonomy,trojan_physical_activation_action_classification,Trojan classification,confidentiality;integrity;availability,,
Functional Trojan,addition_or_deletion_of_transistors_or_gates,chip circuitry,integrity,,
Parametric Trojan,modification_of_existing_wires_and_logic,chip circuitry,integrity,,
Layout-changing Trojan,physical_layout_change,chip physical layout,integrity,,
Layout-preserving Trojan,no_physical_layout_change,chip physical layout,integrity,,
Externally activated Trojan,external_antenna_or_sensor_trigger,chip / external environment,integrity;availability,,
Internally activated Trojan,internal_logic_or_state_trigger,chip internal logic,integrity;availability,,
Always-on Trojan,always_active_trojan,chip operation,integrity;availability,,
Condition-based Trojan,conditional_trigger,chip operation,integrity;availability,,
Logic-triggered Trojan,internal_logic_state_or_input_pattern_trigger,internal logic / input pattern,integrity;availability,,
Sensor-triggered Trojan,temperature_voltage_or_environmental_sensor_trigger,sensor / external environment,integrity;availability,,
Function-modifying Trojan,add_remove_or_bypass_logic,chip function,integrity,,
Specification-modifying Trojan,parametric_property_modification,delay / transistor or wire geometry,integrity;availability,,
Information-transmitting Trojan,key_information_transmission,chip / adversary channel,confidentiality,,
Hardware Trojan insertion,trigger_storage_driver_structure,hardware Trojan horse,confidentiality;integrity;availability,,
Hardware Trojan insertion,trigger_based_activation,hardware Trojan horse,integrity;availability,,
Hardware Trojan insertion,stored_trojan_action,memory / sequential circuit,confidentiality;integrity;availability,,
Hardware Trojan insertion,driver_based_payload_execution,hardware Trojan horse,confidentiality;integrity;availability,,
Hardware Trojan insertion,presynthesis_structural_manipulation,IC design / IP core,integrity,,
Hardware Trojan insertion,fsm_state_manipulation,high-level design description / FSM,integrity,,
Hardware Trojan insertion,embedded_trojan_states,FSM / high-level design,integrity,,
Hardware Trojan insertion,hidden_fsm_driver,FSM structure,integrity,,
Hardware Trojan insertion,unremovable_trojan_in_functionality,original design FSM,integrity,,
Covert information leakage,stealth_communication_channel,working chips,confidentiality,,
Covert information leakage,covert_channel_data_transfer,working chips / adversary channel,confidentiality,,
Hardware Trojan insertion,higher_level_authentication_bypass,IC / system authentication,integrity,,
RTL-level Trojan,rtl_design_attack,RTL,integrity,,
RTL-level Trojan,functional_test_evasion,RTL / functional test,integrity,,
Malicious processor modification,memory_access_mechanism,modified CPU,confidentiality;integrity,,
Malicious processor modification,shadow_mode_execution,modified CPU,integrity;availability,,
Privilege escalation,privilege_escalation_without_credentials,modified CPU / OS interaction,integrity,,
Login backdoor,passwordless_root_login,shadow mode,confidentiality;integrity,,
Password stealing,secret_exfiltration_service,modified processor / software interaction,confidentiality,,
