vlsi_attack_vector_A,mechanism_M,stage_S_norm,outcome_O
ip_theft_and_misuse,illegal_access_or_use_of_design_ip,unmapped_to_model_stage,confidentiality
ic_tamper,ic_functionality_or_feature_modification,unmapped_to_model_stage,integrity
reverse_engineering,design_ip_extraction,design_specifications,confidentiality
over_building,unauthorized_extra_chip_fabrication,unmapped_to_model_stage,confidentiality
cloning,unauthorized_design_copying,design_specifications,confidentiality
ip_misuse,unauthorized_ip_use,design_specifications,confidentiality
counterfeiting,counterfeit_or_cloned_product_substitution,unmapped_to_model_stage,integrity;availability
hardware_trojan_insertion,malicious_hardware_component_insertion,unmapped_to_model_stage,confidentiality;integrity;availability
logic_bomb,trojan_triggered_malicious_behavior,post_silicon_validation,integrity;availability
information_leak_backdoor,trojan_based_information_leakage,post_silicon_validation,confidentiality
hidden_hardware_trojan_program,trojan_rom_based_payload,post_silicon_validation,confidentiality;integrity;availability
ic_chip_replacement,counterfeit_chip_replacement,unmapped_to_model_stage,integrity;availability
hidden_hardware_backdoor,stealthy_hardware_attack_mechanism,post_silicon_validation,confidentiality;integrity
security_backdoor,extra_functionality_in_hardware,design_specifications;post_silicon_validation,confidentiality;integrity;availability
ic_design_tamper,additional_functionality_in_implementation,design_specifications;logic_synthesis;placement_and_routing,integrity
hardware_trojan_insertion,extra_task_without_functional_tamper,post_synthesis_verification,integrity
hardware_trojan_insertion,rare_event_trigger,post_synthesis_verification,integrity;availability
hardware_trojan_insertion,power_or_aging_trigger,post_synthesis_verification,integrity;availability
ic_design_tamper,unprotected_confidential_data_path,post_synthesis_verification,confidentiality
ic_design_tamper,extra_behavior_beyond_specification,post_synthesis_verification,integrity
hardware_trojan_insertion,redundant_logic_payload,logic_synthesis;post_synthesis_verification,integrity
hardware_trojan_insertion,hard_to_excite_trigger_signal,design_specifications;logic_synthesis,integrity
hardware_trojan_insertion,untestable_or_suspicious_logic,design_specifications;logic_synthesis,integrity
physical_design_induced_vulnerability,physical_layout_introduces_security_vulnerability,placement_and_routing,confidentiality;integrity
physical_information_exploitation,layout_information_exposes_security_behavior,placement_and_routing,confidentiality
layout_level_side_channel_leakage,layout_parasitic_side_channel_leakage,placement_and_routing,confidentiality
layout_level_side_channel_leakage,crosstalk_ir_drop_leakage,placement_and_routing,confidentiality
power_side_channel_vulnerability,ir_drop_of_critical_instances,placement_and_routing,confidentiality
power_side_channel_vulnerability,unbalanced_share_power_consumption,placement_and_routing,confidentiality
power_side_channel_vulnerability,share_coupling_interference,placement_and_routing,confidentiality
em_side_channel_vulnerability,em_signature_reaches_top_metal,placement_and_routing,confidentiality
laser_fault_injection,laser_penetrates_active_region,placement_and_routing,integrity;availability
laser_fault_injection,laser_induced_single_event_transient,placement_and_routing,integrity;availability
laser_fault_injection,laser_induced_single_event_upset,placement_and_routing,integrity;availability
laser_fault_injection,critical_cells_near_high_switching_cells,placement_and_routing,integrity;availability
laser_fault_injection,direct_laser_intensity_to_active_region,placement_and_routing,integrity;availability
laser_fault_injection,small_critical_cell_laser_susceptibility,placement_and_routing,integrity;availability
timing_fault_injection,path_delay_clock_skew_fault_susceptibility,placement_and_routing,integrity;availability
em_fault_injection,connected_loop_eddy_current_susceptibility,placement_and_routing,integrity;availability
hardware_trojan_insertion,malicious_hardware_or_firmware_modification,design_specifications,confidentiality;integrity;availability
firmware_trojan_insertion,malicious_firmware_modification,physical_verification_and_signoff,confidentiality;integrity;availability
system_disablement,trojan_delayed_disable_or_destroy,post_silicon_validation,availability
covert_information_leakage,trojan_covert_information_leakage,post_silicon_validation,confidentiality
trojan_ic_substitution,trojan_ic_substitution,unmapped_to_model_stage,integrity;availability
mask_level_trojan_insertion,trojan_mask_implantation,unmapped_to_model_stage,integrity
pre_fabrication_malicious_alteration,malicious_design_alteration_before_fabrication,design_specifications,integrity
hardware_trojan_insertion,original_circuitry_modification,design_specifications,confidentiality;integrity;availability
hardware_trojan_insertion,hardware_mechanism_for_data_or_software_access,post_silicon_validation,confidentiality
hardware_trojan_taxonomy,trojan_physical_activation_action_classification,unmapped_to_model_stage,confidentiality;integrity;availability
functional_trojan,addition_or_deletion_of_transistors_or_gates,logic_synthesis;placement_and_routing,integrity
parametric_trojan,modification_of_existing_wires_and_logic,logic_synthesis;placement_and_routing,integrity
layout_changing_trojan,physical_layout_change,placement_and_routing,integrity
layout_preserving_trojan,no_physical_layout_change,placement_and_routing,integrity
externally_activated_trojan,external_antenna_or_sensor_trigger,post_silicon_validation,integrity;availability
internally_activated_trojan,internal_logic_or_state_trigger,logic_synthesis;post_silicon_validation,integrity;availability
always_on_trojan,always_active_trojan,post_silicon_validation,integrity;availability
condition_based_trojan,conditional_trigger,post_silicon_validation,integrity;availability
logic_triggered_trojan,internal_logic_state_or_input_pattern_trigger,logic_synthesis,integrity;availability
sensor_triggered_trojan,temperature_voltage_or_environmental_sensor_trigger,post_silicon_validation,integrity;availability
function_modifying_trojan,add_remove_or_bypass_logic,post_silicon_validation,integrity
specification_modifying_trojan,parametric_property_modification,placement_and_routing,integrity;availability
information_transmitting_trojan,key_information_transmission,post_silicon_validation,confidentiality
hardware_trojan_insertion,trigger_storage_driver_structure,unmapped_to_model_stage,confidentiality;integrity;availability
hardware_trojan_insertion,trigger_based_activation,unmapped_to_model_stage,integrity;availability
hardware_trojan_insertion,stored_trojan_action,design_specifications;logic_synthesis,confidentiality;integrity;availability
hardware_trojan_insertion,driver_based_payload_execution,unmapped_to_model_stage,confidentiality;integrity;availability
hardware_trojan_insertion,presynthesis_structural_manipulation,design_specifications,integrity
hardware_trojan_insertion,fsm_state_manipulation,design_specifications,integrity
hardware_trojan_insertion,embedded_trojan_states,design_specifications,integrity
hardware_trojan_insertion,hidden_fsm_driver,design_specifications,integrity
hardware_trojan_insertion,unremovable_trojan_in_functionality,design_specifications,integrity
covert_information_leakage,stealth_communication_channel,post_silicon_validation,confidentiality
covert_information_leakage,covert_channel_data_transfer,post_silicon_validation,confidentiality
hardware_trojan_insertion,higher_level_authentication_bypass,post_silicon_validation,integrity
rtl_level_trojan,rtl_design_attack,design_specifications,integrity
rtl_level_trojan,functional_test_evasion,design_specifications;post_synthesis_verification,integrity
malicious_processor_modification,memory_access_mechanism,post_silicon_validation,confidentiality;integrity
malicious_processor_modification,shadow_mode_execution,post_silicon_validation,integrity;availability
privilege_escalation,privilege_escalation_without_credentials,post_silicon_validation,integrity
login_backdoor,passwordless_root_login,post_silicon_validation,confidentiality;integrity
password_stealing,secret_exfiltration_service,post_silicon_validation,confidentiality
hardware_trojan_insertion,remote_trojan_control,design_specifications,integrity;availability
hls_induced_information_leakage,security_asset_leakage_to_observable_points,high_level_synthesis,confidentiality
hls_induced_control_flow_violation,break_intended_execution_flow,high_level_synthesis,integrity
hls_induced_fault_injection_susceptibility,fault_or_glitch_attack_enablement,high_level_synthesis,integrity;availability
hls_induced_side_channel_leakage,power_or_time_side_channel_exposure,high_level_synthesis,confidentiality
function_flattening_vulnerability,critical_function_inlining_expands_sensitive_registers,high_level_synthesis,confidentiality
no_reset_register_vulnerability,sensitive_register_retention_after_reset,high_level_synthesis,confidentiality
no_preset_register_vulnerability,insecure_unknown_state_after_reset,high_level_synthesis,integrity;availability
passthrough_output_vulnerability,intermediate_values_reflected_at_primary_output,high_level_synthesis,confidentiality
lack_of_top_level_control_signals,data_latching_without_secure_start_control,high_level_synthesis,confidentiality;integrity
insecure_call_method_vulnerability,pass_by_value_fault_or_pass_by_reference_external_tamper,high_level_synthesis,confidentiality;integrity
non_secure_scheduling,sensitive_operation_scheduled_before_security_condition,high_level_synthesis,confidentiality;integrity
non_secure_resource_sharing,secure_and_nonsecure_operations_share_hardware_resources,high_level_synthesis,confidentiality;integrity;availability
unbalanced_pipeline_vulnerability,secure_and_nonsecure_assets_reach_outputs_at_different_depths,high_level_synthesis,confidentiality
insecure_control_logic_extraction,fault_vulnerable_hls_generated_fsm,high_level_synthesis,integrity;availability
power_side_channel_vulnerability,security_unaware_power_optimization,high_level_synthesis,confidentiality
unbalanced_pipeline_vulnerability,reset_and_flush_key_leakage,high_level_synthesis,confidentiality
hls_induced_information_leakage,round_key_reaches_output_before_state,high_level_synthesis,confidentiality
combinational_output_leakage,conditional_statement_translated_to_combinational_circuit,high_level_synthesis,confidentiality
passthrough_output_vulnerability,computed_value_reflected_before_valid_signal,high_level_synthesis,confidentiality
uncleared_register_vulnerability,intermediate_registers_not_cleared_on_reset,high_level_synthesis,confidentiality
uncleared_io_register_vulnerability,output_register_retains_previous_sensitive_value,high_level_synthesis,confidentiality
passthrough_output_vulnerability,intermediate_comparison_results_reflected_at_output,high_level_synthesis,confidentiality
latching_intermediate_values,intermediate_aes_round_state_latches_to_output,high_level_synthesis,confidentiality
lack_of_top_level_control_signals,free_running_mode_input_latching,high_level_synthesis,confidentiality;integrity
lack_of_top_level_control_signals,bypass_intermediate_round_operations,high_level_synthesis,confidentiality
hls_induced_key_leakage,last_round_key_recovery_from_leaked_intermediate_value,high_level_synthesis,confidentiality
insecure_call_method_vulnerability,single_bit_fault_on_external_round_variable,high_level_synthesis,confidentiality;integrity
insecure_call_method_vulnerability,final_round_bypass_and_ninth_round_state_leakage,high_level_synthesis,confidentiality
power_side_channel_vulnerability,psc_unaware_hls_translation,high_level_synthesis,confidentiality
power_side_channel_vulnerability,toggle_activity_based_key_leakage,high_level_synthesis,confidentiality
rtl_hardware_trojan,dangerous_dont_care_propagation,design_specifications,confidentiality;integrity
rtl_hardware_trojan,hard_to_control_and_observe_logic,design_specifications,integrity
rtl_asset_leakage,asset_propagation_to_observable_nodes,design_specifications,confidentiality
gate_level_hardware_trojan,hard_to_control_and_observe_net,logic_synthesis,integrity
fsm_fault_injection_vulnerability,illegal_access_to_protected_state,logic_synthesis,integrity;availability
gate_level_asset_leakage,asset_access_or_observation_at_gate_level,logic_synthesis,confidentiality
dft_asset_leakage,test_structure_exposes_asset,design_for_testability,confidentiality
dfd_asset_leakage,debug_structure_exposes_asset,design_for_testability,confidentiality
physical_layout_side_channel_leakage,side_channel_signal_exposure,placement_and_routing,confidentiality
micro_probing_attack,exposed_security_critical_nets,placement_and_routing,confidentiality
physical_layout_fault_injection,injectable_fault_or_error,placement_and_routing,integrity;availability
