node_id,parent_id,level,paper_label,normalized_name,our_use/ Asw,Asw Definition,candidate_M,mechanism_definition
AV-000,ROOT,0,Conduct Open-Source Supply Chain Attack,conduct_oss_supply_chain_attack,root,A high level root goal in which an attacker compromises the open source software supply chain so that downstream users consume or execute malicious software artifacts. ,not_used_root,Node is the root of the attack tree
AV-100,AV-000,1,Develop and Advertise Distinct Malicious Package from Scratch,develop_and_advertise_distinct_malicious_package,A_sw,Develop and Advertise Distinct Malicious Package from Scratch: An attack vector in which the attacker creates a new malicious package or project and promotes it so that users adopt it as if it were useful or legitimate. ,attacker_controlled_malicious_software_artifact,The attacker controls a malicious software artifact that can be consumed by a downstream user or toolchain. 
AV-200,AV-000,1,Create Name Confusion with Legitimate Package,create_name_confusion_with_legitimate_package,A_sw,Create Name Confusion with Legitimate PackageAn attack vector in which the attacker creates or uses a package name that can be confused with a legitinate package name causing users or tools to select the attacker controlled package. ,attacker_controlled_lookalike_software_artifact,"The attacker controls a software artifact that appears related to, or can be mistaken for, a legitimate artifact."
AV-201,AV-200,2,Combosquatting,combosquatting,A_sw_subtype,"Combosquatting:  A name confusion attack in which the attacker combines words, tokens, or package-name elements from a legitimate package to create a misleading package name. ",attacker_controlled_lookalike_software_artifact,"The attacker controls a software artifact that appears related to, or can be mistaken for, a legitimate artifact."
AV-202,AV-200,2,Altering Word Order,altering_word_order,A_sw_subtype,Altering Word Order: A name confusion attack in which the attacker changes teh order of words in a legitimate package name to create a confusingly similar package name. ,attacker_controlled_lookalike_software_artifact,"The attacker controls a software artifact that appears related to, or can be mistaken for, a legitimate artifact."
AV-203,AV-200,2,Manipulating Word Separators,manipulating_word_separators,A_sw_subtype,"Manipulating Word Separators: A name-confusion attack in which the attacker changes separators such as hyphens, underscores, dots, or spacing to make a malicious package name resemble a legitimate one.",attacker_controlled_lookalike_software_artifact,"The attacker controls a software artifact that appears related to, or can be mistaken for, a legitimate artifact."
AV-204,AV-200,2,Typosquatting,typosquatting,A_sw_subtype,"Typosquatting: A name-confusion attack in which the attacker creates a package name based on common spelling mistakes, typing errors, or small character changes from a legitimate package name.",attacker_controlled_lookalike_software_artifact,"The attacker controls a software artifact that appears related to, or can be mistaken for, a legitimate artifact."
AV-205,AV-200,2,Built-In Package,built_in_package,A_sw_subtype,"built-in package: A name-confusion attack in which the attacker uses a name that appears to correspond to a built-in, standard, or expected package, causing users or tools to trust or install it.",attacker_controlled_lookalike_software_artifact,"The attacker controls a software artifact that appears related to, or can be mistaken for, a legitimate artifact."
AV-206,AV-200,2,Brandjacking,brandjacking,A_sw_subtype,"Brandjacking: A name-confusion attack in which the attacker uses the name, identity, or branding of a trusted project, organization, or vendor to make a malicious package appear trustworthy.",attacker_controlled_lookalike_software_artifact,"The attacker controls a software artifact that appears related to, or can be mistaken for, a legitimate artifact."
AV-207,AV-200,2,Similarity Attack,similarity_attack,A_sw_subtype,"Similarity Attack: A name-confusion attack in which the attacker creates a package name or identity that is visually or semantically similar to a legitimate package, even if it is not a direct typo.",attacker_controlled_lookalike_software_artifact,"The attacker controls a software artifact that appears related to, or can be mistaken for, a legitimate artifact."
AV-001,AV-000,1,Subvert Legitimate Package,subvert_legitimate_package,A_sw,An attack vector in which the attacker compromises an existing legitimate package or its supply-chain process so that malicious code reaches downstream users through a trusted package.,attacker_controlled_legitimate_software_artifact,The attacker gains control over a legitimate software artifact or its release path.
AV-300,AV-001,2,Inject into Sources of Legitimate Package,inject_into_sources_of_legitimate_package,A_sw,An attack vector in which the attacker inserts malicious code or malicious changes into the source code of a legitimate package.,attacker_controlled_source_code,"The attacker can modify source code that will later be consumed, built, or executed"
AV-400,AV-001,2,Inject During the Build of Legitimate Package,inject_during_build_of_legitimate_package,A_sw,"An attack vector in which the attacker injects malicious code during the build process, so the produced artifact is malicious even if the source appears benign.",attacker_controlled_build_artifact,The attacker can influence the build process or build output.
AV-500,AV-001,2,Distribute Malicious Version of Legitimate Package,distribute_malicious_version_of_legitimate_package,A_sw,An attack vector in which the attacker distributes a malicious version of a legitimate package to downstream users.,attacker_controlled_released_artifact,The attacker can deliver or publish a malicious artifact as a package/version consumed by downstream users.
AV-301,AV-300,3,Introduce Malicious Code through Hypocrite Merge Request,introduce_malicious_code_through_hypocrite_merge_request,A_sw_subtype,A source-injection attack in which the attacker submits a malicious change that appears acceptable during review and is merged into the legitimate project.,attacker_controlled_source_code,"The attacker can modify source code that will later be consumed, built, or executed."
AV-304,AV-300,3,Make Immature Vulnerability Exploitable,make_immature_vulnerability_exploitable,A_sw_subtype,A source-level attack in which the attacker changes code so that an existing weak or incomplete vulnerability becomes practically exploitable.,attacker_controlled_source_code,"The attacker can modify source code that will later be consumed, built, or executed."
AV-305,AV-300,3,Exploit Rendering Weakness,exploit_rendering_weakness,A_sw_subtype,A source-level attack in which the attacker uses how code is displayed or rendered to hide malicious code or make a malicious change appear harmless.,attacker_controlled_hidden_source_change,The attacker can introduce a source-code change while hiding or disguising it from reviewers or tools.
AV-306,AV-305,4,Exploit Unicode Bidirectional Algorithm,exploit_unicode_bidirectional_algorithm,A_sw_subtype,A source-hiding attack in which the attacker uses Unicode bidirectional control characters to make malicious source code appear different from how it is interpreted or compiled.,attacker_controlled_hidden_source_change,The attacker can introduce a source-code change while hiding or disguising it from reviewers or tools.
AV-307,AV-305,4,Use Homoglyphs,use_homoglyphs,A_sw_subtype,"A source-hiding attack in which the attacker uses visually similar characters to make malicious code, identifiers, or changes appear benign or familiar.",attacker_controlled_hidden_source_change,The attacker can introduce a source-code change while hiding or disguising it from reviewers or tools.
