path_id,A_sw,M_sw,A_vlsi,Stage,Outcome,asw_feasibility,msw_feasibility,avlsi_feasibility,stage_evidence,feasibility_level,asw_supporting_evidence_ids,msw_supporting_evidence_ids,avlsi_supporting_evidence_ids,feasibility_rationale
P333,build_or_toolchain_compromise,build_or_toolchain_execution_control,design_tampering_or_malicious_modification,stage_1_high_level_synthesis,integrity,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P334,build_or_toolchain_compromise,build_or_toolchain_execution_control,design_tampering_or_malicious_modification,stage_1_high_level_synthesis,availability,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P335,build_or_toolchain_compromise,build_or_toolchain_execution_control,design_tampering_or_malicious_modification,stage_2_logic_synthesis,integrity,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P336,build_or_toolchain_compromise,build_or_toolchain_execution_control,design_tampering_or_malicious_modification,stage_2_logic_synthesis,availability,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P337,build_or_toolchain_compromise,build_or_toolchain_execution_control,design_tampering_or_malicious_modification,stage_3_post_synthesis_verification,integrity,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P338,build_or_toolchain_compromise,build_or_toolchain_execution_control,design_tampering_or_malicious_modification,stage_3_post_synthesis_verification,availability,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P339,build_or_toolchain_compromise,build_or_toolchain_execution_control,design_tampering_or_malicious_modification,stage_4_design_for_testability,integrity,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P340,build_or_toolchain_compromise,build_or_toolchain_execution_control,design_tampering_or_malicious_modification,stage_4_design_for_testability,availability,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P341,build_or_toolchain_compromise,build_or_toolchain_execution_control,design_tampering_or_malicious_modification,stage_5_placement_and_routing,integrity,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P342,build_or_toolchain_compromise,build_or_toolchain_execution_control,design_tampering_or_malicious_modification,stage_5_placement_and_routing,availability,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
