path_id,A_sw,M_sw,A_vlsi,Stage,Outcome,asw_feasibility,msw_feasibility,avlsi_feasibility,stage_evidence,feasibility_level,asw_supporting_evidence_ids,msw_supporting_evidence_ids,avlsi_supporting_evidence_ids,feasibility_rationale
P1,package_introduction_or_misselection,consumed_software_behavior_control,design_tampering_or_malicious_modification,stage_0_design_specification,integrity,Low,High,Medium,not_observed_in_v1,Low,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2; E10; E19,Low because the path is model-possible but weakly supported by the current v1 feasibility evidence.
P2,package_introduction_or_misselection,consumed_software_behavior_control,design_tampering_or_malicious_modification,stage_0_design_specification,availability,Low,High,Medium,not_observed_in_v1,Low,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2; E10; E19,Low because the path is model-possible but weakly supported by the current v1 feasibility evidence.
P3,package_introduction_or_misselection,consumed_software_behavior_control,design_tampering_or_malicious_modification,stage_1_high_level_synthesis,integrity,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2; E10; E19,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P4,package_introduction_or_misselection,consumed_software_behavior_control,design_tampering_or_malicious_modification,stage_1_high_level_synthesis,availability,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2; E10; E19,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P5,package_introduction_or_misselection,consumed_software_behavior_control,design_tampering_or_malicious_modification,stage_2_logic_synthesis,integrity,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2; E10; E19,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P6,package_introduction_or_misselection,consumed_software_behavior_control,design_tampering_or_malicious_modification,stage_2_logic_synthesis,availability,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2; E10; E19,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P7,package_introduction_or_misselection,consumed_software_behavior_control,design_tampering_or_malicious_modification,stage_3_post_synthesis_verification,integrity,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2; E10; E19,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P8,package_introduction_or_misselection,consumed_software_behavior_control,design_tampering_or_malicious_modification,stage_3_post_synthesis_verification,availability,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2; E10; E19,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P9,package_introduction_or_misselection,consumed_software_behavior_control,design_tampering_or_malicious_modification,stage_4_design_for_testability,integrity,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2; E10; E19,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P10,package_introduction_or_misselection,consumed_software_behavior_control,design_tampering_or_malicious_modification,stage_4_design_for_testability,availability,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2; E10; E19,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
