section,paper_attack_label,normalized_name,our_use,asw_definition,candidate_M,mechanism_definition
3.1,Package Use-After-Free Attack,package_use_after_free,A_sw,An attack vector in which the attacker reuses the name of a deleted or unpublished package so that users or tools requesting the old package receive the attacker-controlled package instead.,attacker_controlled_reused_package_name,"The attacker can reuse an abandoned, deleted, or previously valid package name to distribute an attacker-controlled software artifact."
3.1,Package Maintainer Account Hijacking Attack,package_maintainer_account_hijacking,A_sw,"An attack vector in which the attacker takes over a package maintainer account, for example through reused identity-provider resources such as expired email domains or deleted third-party accounts, and uses that account to inject malicious code or publish malicious releases.",compromised_legitimate_account_control,"The attacker can act through a legitimate account and use its permissions to modify, build, or distribute software artifacts."
3.1,Package Redirection Hijacking Attack,package_redirection_hijacking,A_sw,"An attack vector in which the attacker exploits stale repository-location references after a username change, project transfer, or deleted code-hosting account, causing users or tools to download an attacker-controlled package from the old location.",attacker_controlled_distribution_reference,The attacker can redirect or control a software reference that downstream users or tools rely on.
3.2,Mirror Package Override Attack,mirror_package_override,A_sw,"An attack vector in which the attacker exploits inconsistencies between an upstream registry and a registry mirror, publishing a package to the upstream registry with the same name as a mirror-only package so that the mirror package is overwritten during synchronization.",attacker_controlled_mirror_resolution,"The attacker can influence how a package mirror resolves or synchronizes package names, causing downstream users or tools to receive attacker-controlled artifacts."
3.2,Case Sensitivity Confusion Attack,case_sensitivity_confusion,A_sw,An attack vector in which the attacker exploits inconsistent handling of uppercase and lowercase package names between registries and mirrors so that users requesting a benign package may receive an attacker-controlled package with a different case variant.,attacker_controlled_package_name_resolution,The attacker can exploit package-name resolution ambiguity so that downstream tools select an attacker-controlled artifact.
3.3,Typosquatting in Registries,typosquatting_in_registries,A_sw,"An attack vector in which the attacker publishes a package with a name similar to a popular legitimate package, including typo-based, scope-based, segmented-name, or cross-registry name confusion, so that users or tools install the attacker-controlled package instead of the intended one.",attacker_controlled_lookalike_software_artifact,"The attacker controls a software artifact that appears related to, or can be mistaken for, a legitimate artifact."
3.4,Package Reference Attack,package_reference_attack,A_sw,"An attack vector in which the attacker controls a normal-looking package that references a malicious package, causing users or tools to automatically download the malicious dependency during package installation or resolution.",attacker_controlled_dependency_reference,The attacker can influence dependency references so that downstream users or tools retrieve malicious or attacker-controlled packages.
3.4,Ghost Package Attack in Mirrors,ghost_package_attack_in_mirrors,A_sw,"An attack vector in which the attacker exploits registry mirrors that fail to remove unpublished or malicious packages, allowing mirror users to continue downloading unsafe ghost packages even after the official registry removed them.",attacker_controlled_stale_mirror_artifact,The attacker can benefit from stale or inconsistent mirror content that continues to serve unsafe software artifacts.
3.5,Dependency Confusion Attack,dependency_confusion_attack,A_sw,"An attack vector in which the attacker publishes a malicious public package with the same name as a private or internal package, often with a higher version number, causing the registry client or virtual repository to select the attacker-controlled package.",attacker_controlled_dependency_resolution,The attacker can influence dependency resolution so that downstream tools select an attacker-controlled artifact.
3.5,Package Version Downgrade Attack,package_version_downgrade_attack,A_sw,"An attack vector in which the attacker uses package references to force a registry client to install or replace a dependency with an older vulnerable version, even when version constraints were intended to avoid that version.",attacker_controlled_update_path,"The attacker can influence whether downstream users or tools receive safe, vulnerable, or malicious software versions."
3.6,Package Version Reuse Attack,package_version_reuse_attack,A_sw,"An attack vector in which the attacker changes the content of a package while keeping the same version number, causing users who trust or pin that version to receive different and potentially malicious code without noticing the change.",attacker_controlled_reused_version_artifact,The attacker can replace or alter the software artifact associated with an existing version identifier.
3.6,Package Tampering Attack,package_tampering_attack,A_sw,"An attack vector in which the attacker modifies package contents during distribution, especially when integrity-checking files are missing, removed, or bypassed, or when mirrors allow insecure download channels.",attacker_controlled_package_content_tampering,"The attacker can alter package contents or metadata during distribution by abusing missing integrity verification, modified checksum files, or insecure transport."
