M_sw,M_vlsi,bridge_reason,decision
attacker_controlled_malicious_software_artifact,illegal_access_or_use_of_design_ip,Malicious software artifact can access design/IP files consumed in the VLSI flow,keep
attacker_controlled_malicious_software_artifact,design_ip_extraction,Malicious software artifact can read or extract design IP during the flow,keep
attacker_controlled_malicious_software_artifact,unauthorized_design_copying,Malicious software artifact can copy design artifacts available to the tool or dependency,keep
attacker_controlled_malicious_software_artifact,ic_functionality_or_feature_modification,Malicious software artifact can modify generated design functionality or features,keep
attacker_controlled_malicious_software_artifact,malicious_hardware_component_insertion,Malicious software artifact can insert malicious hardware logic or components into generated design artifacts,keep
attacker_controlled_malicious_software_artifact,additional_functionality_in_implementation,Malicious software artifact can add unintended functionality during design transformation,keep
attacker_controlled_malicious_software_artifact,extra_behavior_beyond_specification,Malicious software artifact can generate behavior beyond the intended specification,keep
attacker_controlled_malicious_software_artifact,unprotected_confidential_data_path,Malicious software artifact can weaken or alter protection around confidential data paths,keep
attacker_controlled_malicious_software_artifact,redundant_logic_payload,Malicious software artifact can insert redundant or hidden logic payloads,keep
attacker_controlled_malicious_software_artifact,hard_to_excite_trigger_signal,Malicious software artifact can introduce rare or hard-to-excite trigger conditions,keep
attacker_controlled_malicious_software_artifact,untestable_or_suspicious_logic,Malicious software artifact can introduce logic that is difficult to test or observe,keep
attacker_controlled_malicious_software_artifact,malicious_design_alteration_before_fabrication,Malicious software artifact can alter design artifacts before fabrication,keep
attacker_controlled_malicious_software_artifact,original_circuitry_modification,Malicious software artifact can modify the original circuit description or generated circuit,keep
attacker_controlled_malicious_software_artifact,add_remove_or_bypass_logic,Malicious software artifact can add remove or bypass logic in the design,keep
attacker_controlled_malicious_software_artifact,presynthesis_structural_manipulation,Malicious software artifact can manipulate design structure before synthesis,keep
attacker_controlled_malicious_software_artifact,fsm_state_manipulation,Malicious software artifact can alter FSM behavior in the design description,keep
attacker_controlled_malicious_software_artifact,embedded_trojan_states,Malicious software artifact can insert hidden Trojan states into an FSM,keep
attacker_controlled_malicious_software_artifact,hidden_fsm_driver,Malicious software artifact can hide driver behavior inside FSM logic,keep
attacker_controlled_malicious_software_artifact,unremovable_trojan_in_functionality,Malicious software artifact can merge Trojan behavior with intended design functionality,keep
attacker_controlled_malicious_software_artifact,rtl_design_attack,Malicious software artifact can modify RTL or design logic,keep
attacker_controlled_malicious_software_artifact,functional_test_evasion,Malicious software artifact can produce behavior that passes functional tests while hiding malicious logic,review
attacker_controlled_malicious_software_artifact,security_asset_leakage_to_observable_points,Malicious software artifact can transform security assets so they become observable,keep
attacker_controlled_malicious_software_artifact,break_intended_execution_flow,Malicious software artifact can alter generated control or execution behavior,keep
attacker_controlled_malicious_software_artifact,power_or_time_side_channel_exposure,Malicious software artifact can generate design structures that expose power or timing side channels,review
attacker_controlled_legitimate_software_artifact,illegal_access_or_use_of_design_ip,Attacker-controlled legitimate artifact can access design/IP files because it is trusted and consumed in the VLSI flow,keep
attacker_controlled_legitimate_software_artifact,design_ip_extraction,Attacker-controlled legitimate artifact can read or extract design IP during normal tool or dependency execution,keep
attacker_controlled_legitimate_software_artifact,unauthorized_design_copying,Attacker-controlled legitimate artifact can copy design artifacts available during the flow,keep
attacker_controlled_legitimate_software_artifact,ic_functionality_or_feature_modification,Attacker-controlled legitimate artifact can modify generated design functionality or features,keep
attacker_controlled_legitimate_software_artifact,malicious_hardware_component_insertion,Attacker-controlled legitimate artifact can insert malicious hardware logic or components into generated design artifacts,keep
attacker_controlled_legitimate_software_artifact,additional_functionality_in_implementation,Attacker-controlled legitimate artifact can add unintended functionality while still appearing legitimate,keep
attacker_controlled_legitimate_software_artifact,extra_behavior_beyond_specification,Attacker-controlled legitimate artifact can produce behavior beyond the intended design specification,keep
attacker_controlled_legitimate_software_artifact,unprotected_confidential_data_path,Attacker-controlled legitimate artifact can weaken protection around confidential data paths,keep
attacker_controlled_legitimate_software_artifact,redundant_logic_payload,Attacker-controlled legitimate artifact can introduce redundant or hidden logic payloads,keep
attacker_controlled_legitimate_software_artifact,hard_to_excite_trigger_signal,Attacker-controlled legitimate artifact can introduce rare or hard-to-excite trigger conditions,review
attacker_controlled_legitimate_software_artifact,untestable_or_suspicious_logic,Attacker-controlled legitimate artifact can introduce logic that is difficult to test or observe,review
attacker_controlled_legitimate_software_artifact,malicious_design_alteration_before_fabrication,Attacker-controlled legitimate artifact can carry malicious design alteration before fabrication,keep
attacker_controlled_legitimate_software_artifact,original_circuitry_modification,Attacker-controlled legitimate artifact can modify the original circuit description or generated circuit,keep
attacker_controlled_legitimate_software_artifact,add_remove_or_bypass_logic,Attacker-controlled legitimate artifact can add remove or bypass logic in the design,keep
attacker_controlled_legitimate_software_artifact,presynthesis_structural_manipulation,Attacker-controlled legitimate artifact can manipulate design structure before synthesis,keep
attacker_controlled_legitimate_software_artifact,fsm_state_manipulation,Attacker-controlled legitimate artifact can alter FSM behavior when it affects source or generated design logic,keep
attacker_controlled_legitimate_software_artifact,embedded_trojan_states,Attacker-controlled legitimate artifact can introduce hidden Trojan states into FSM logic,keep
attacker_controlled_legitimate_software_artifact,hidden_fsm_driver,Attacker-controlled legitimate artifact can hide driver behavior inside FSM logic,keep
attacker_controlled_legitimate_software_artifact,unremovable_trojan_in_functionality,Attacker-controlled legitimate artifact can merge Trojan behavior with intended design functionality,keep
attacker_controlled_legitimate_software_artifact,rtl_design_attack,Attacker-controlled legitimate artifact can modify RTL or design logic while appearing trusted,keep
attacker_controlled_legitimate_software_artifact,functional_test_evasion,Attacker-controlled legitimate artifact can produce behavior that passes functional tests while hiding malicious logic,review
attacker_controlled_legitimate_software_artifact,security_asset_leakage_to_observable_points,Attacker-controlled legitimate artifact can transform security assets so they become observable,keep
attacker_controlled_legitimate_software_artifact,break_intended_execution_flow,Attacker-controlled legitimate artifact can alter generated control or execution behavior,keep
attacker_controlled_legitimate_software_artifact,power_or_time_side_channel_exposure,Attacker-controlled legitimate artifact can generate structures that expose power or timing side channels,review
attacker_controlled_legitimate_software_artifact,malicious_firmware_modification,Attacker-controlled legitimate artifact can deliver modified firmware or bitstream-like content if the artifact is consumed in that form,review
attacker_controlled_build_artifact,ic_functionality_or_feature_modification,Compromised build artifact can carry modified design functionality or features into the VLSI flow,keep
attacker_controlled_build_artifact,malicious_hardware_component_insertion,Compromised build artifact can include malicious hardware logic or components in generated design artifacts,keep
