Chapter 9: Secure Physical Design.,,,,,,
section,vlsi_attack_vector_A,mechanism_M,stage_S,outcome_O,exact_paper_wording,notes
9.1,Physical-design induced vulnerability,physical_layout_introduces_security_vulnerability,physical_design,confidentiality;integrity,secure gate-level netlist may become insecure after the generation of its physical layout,Chapter motivation; physical layout can introduce vulnerabilities not visible at gate level.
9.1,Physical information exploitation,layout_information_exposes_security_behavior,physical_design,confidentiality,extract vital information from the packaged chip,Physical information may enable confidentiality violations.
9.3.2.1,Layout-level side-channel leakage,layout_parasitic_side_channel_leakage,physical_layout,confidentiality,capacitance and resistance of the wires,Layout parasitics can become side-channel leakage sources.
9.3.2.1,Layout-level side-channel leakage,crosstalk_ir_drop_leakage,physical_layout,confidentiality,Crosstalk and IR drop,The chapter identifies crosstalk and IR drop as physical-level leakage concerns.
9.4.1,Power side-channel vulnerability,ir_drop_of_critical_instances,placement,confidentiality,Minimize the IR drop of critical instances (s-box cells),Table 9.4 maps this to placement-level security rules.
9.4.1,Power side-channel vulnerability,unbalanced_share_power_consumption,placement_and_routing,confidentiality,Balance power consumption of shares,Physical placement/routing may break balance between masked shares.
9.4.1,Power side-channel vulnerability,share_coupling_interference,placement,confidentiality,Interference from share placed to each other,Adjacent shares may influence each other through physical coupling.
9.4.1,EM side-channel vulnerability,em_signature_reaches_top_metal,routing,confidentiality,EM signature related to the secret asset should not reach the topmost metal layer,EM/power signature can become measurable through upper metal layers.
9.4.2,Laser fault injection,laser_penetrates_active_region,routing,integrity;availability,A laser should not be able to penetrate to active region,Front-side laser fault-injection vulnerability.
9.4.2,Laser fault injection,laser_induced_single_event_transient,physical_layout,integrity;availability,single-event transient,Laser-induced current pulses can create transient faults.
9.4.2,Laser fault injection,laser_induced_single_event_upset,physical_layout,integrity;availability,single-event upset,Laser can directly induce faults in memory elements such as RAM/registers.
9.4.2,Laser fault injection,critical_cells_near_high_switching_cells,routing,integrity;availability,Critical cell placed nearby high switching & bulky cells are more susceptible,Backside laser-fault vulnerability from Table 9.4.
9.4.2,Laser fault injection,direct_laser_intensity_to_active_region,placement_and_routing,integrity;availability,Protecting active region from direct intensity of laser,Backside laser exposure concern.
9.4.2,Laser fault injection,small_critical_cell_laser_susceptibility,placement,integrity;availability,Bulky cells are less susceptible to laser compared to small cells,Cell-size/layout choice affects laser fault susceptibility.
9.4.2,Timing fault injection,path_delay_clock_skew_fault_susceptibility,placement_and_routing,integrity;availability,"Faults injected and propagated by clock glitch, voltage glitch, power glitch can impact path delays",Table 9.4 maps timing fault injection to placement/routing effects on path delay and clock skew.
9.4.2,EM fault injection,connected_loop_eddy_current_susceptibility,placement_and_routing,integrity;availability,Mitigate induced eddy currents,Connected loop structures near critical cells can increase EM fault-injection risk.
