section,paper_attack_label,normalized_name,our_use,asw_definition,candidate_M,mechanism_definition
5.1,Ownership Transfer,ownership_transfer,A_sw,"An attack vector in which the attacker convinces a legitimate package maintainer to grant them maintainer rights, allowing the attacker to control the package and potentially publish malicious releases.",maintainer_level_release_control,The attacker can publish or release software artifacts using trusted maintainer-level privileges.
5.1,Account Takeover,account_takeover,A_sw,"An attack vector in which the attacker gains access to a legitimate developer or maintainer account and uses its permissions to affect packages, repositories, or development services.",compromised_legitimate_account_control,"The attacker can act through a legitimate account and use its permissions to modify, build, or distribute software artifacts."
5.1,Phishing,phishing,A_sw,An attack vector in which the attacker uses deceptive messages or fake websites to trick developers or maintainers into revealing credentials or tokens for trusted development platforms.,compromised_legitimate_account_control,"The attacker can act through a legitimate account and use its permissions to modify, build, or distribute software artifacts."
5.1,Credential Stuffing,credential_stuffing,A_sw,"An attack vector in which the attacker reuses leaked username-password pairs to gain unauthorized access to developer, maintainer, repository, registry, or development-tool accounts.",compromised_legitimate_account_control,"The attacker can act through a legitimate account and use its permissions to modify, build, or distribute software artifacts."
5.2,Typosquatting / Combosquatting,typosquatting_and_combosquatting,A_sw,"An attack vector in which the attacker publishes a malicious package with a name that looks similar to a legitimate package, causing users or tools to install the wrong package.",attacker_controlled_lookalike_software_artifact,"The attacker controls a software artifact that appears related to, or can be mistaken for, a legitimate artifact."
5.2,Code Injection,code_injection,A_sw,An attack vector in which the attacker inserts malicious code into a legitimate software project so that the code can affect downstream users later.,attacker_controlled_source_code,"The attacker can modify source code that will later be consumed, built, or executed."
5.2,Exploiting Unmaintained Legacy Code,exploiting_unmaintained_legacy_code,A_sw,"An attack vector in which the attacker targets known vulnerabilities in abandoned, outdated, or poorly maintained dependencies used by downstream software.",attacker_exploitable_vulnerable_dependency,The attacker can exploit a vulnerable dependency that remains present in the downstream software supply chain.
5.2,Dependency Confusion,dependency_confusion,A_sw,An attack vector in which the attacker publishes a public package with the same name as a private or internal dependency so that dependency resolution selects the attacker-controlled package.,attacker_controlled_dependency_resolution,The attacker can influence dependency resolution so that downstream tools select an attacker-controlled artifact.
5.2,Certificate Theft,certificate_theft,A_sw,An attack vector in which the attacker steals or misuses code-signing certificates or keys so that malicious software updates appear legitimate and trusted.,attacker_controlled_signing_identity,The attacker can use or abuse a trusted signing identity to make malicious software artifacts appear authentic.
5.2,Ghost Package Attack in Mirrors,ghost_package_attack_in_mirrors,A_sw,"An attack vector in which the attacker exploits package mirrors that continue to host removed, unpublished, outdated, or malicious packages after the official registry has removed them.",attacker_controlled_stale_mirror_artifact,The attacker can benefit from stale or inconsistent mirror content that continues to serve unsafe software artifacts.
5.2,Package Version Downgrade,package_version_downgrade,A_sw,An attack vector in which the attacker manipulates dependency resolution so that downstream users or tools install an older vulnerable package version instead of the intended safe version.,attacker_controlled_update_path,"The attacker can influence whether downstream users or tools receive safe, vulnerable, or malicious software versions."
5.2,Package Version Reuse,package_version_reuse,A_sw,"An attack vector in which the attacker republishes or replaces package contents under an already trusted version number, bypassing assumptions that a pinned version always refers to the same code.",attacker_controlled_reused_version_artifact,The attacker can replace or alter the software artifact associated with an existing version identifier.
5.3,Exploitation of Signature System,exploitation_of_signature_system,A_sw,"An attack vector in which the attacker exploits weak, skipped, or broken signature verification in the software development or distribution pipeline so that malicious artifacts bypass integrity checks.",attacker_controlled_signature_verification_bypass,The attacker can bypass or abuse signature verification so that malicious software artifacts are treated as trusted.
5.3,Misconfigurations,misconfigurations,A_sw,"An attack vector in which the attacker exploits insecure defaults, excessive permissions, exposed services, missing encryption, or weak configuration in repositories, CI/CD systems, or development tooling.",attacker_controlled_insecure_development_configuration,"The attacker can exploit insecure development, build, repository, or CI/CD configuration to modify, access, or distribute software artifacts."
5.3,Compromised Tools,compromised_tools,A_sw,"An attack vector in which the attacker tampers with development tools such as IDEs, compilers, or build tools before they reach developers, causing those tools to introduce malicious behavior into software builds.",attacker_controlled_development_tool,The attacker controls or modifies a software development tool that downstream developers or build systems rely on.
