evidence_id,model_layer,model_type,related_stage,related_tool,metric_group,metric_name,metric_value,component_or_library,evidence_source,feasibility_signal,rationale,notes
E1,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,Yosys,tpl_percentage,shared_tpl_percent,62,shared third-party libraries,Table 3,not_assigned_yet,Table 3 reports 62.00 percent shared third-party library usage for Yosys.,Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E2,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,Yosys,static_linking,static_tpl_percent,90.3,static third-party libraries,Table 3,not_assigned_yet,"Table 3 reports 90.30 percent static third-party library usage for Yosys, showing strong static dependency exposure.",Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E3,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,Yosys,cve_exposure,high_risk_cves,9 CVEs at 9.8,third-party libraries,Table 2,not_assigned_yet,"Table 2 reports high-risk CVE exposure for Yosys third-party libraries, supporting dependency-related feasibility.",Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E4,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,Yosys,dependency_exposure,static_tpl_maintainers,881,static third-party libraries,Table 2,not_assigned_yet,"Table 2 reports 881 maintainers associated with Yosys static third-party libraries, indicating a broad dependency-maintainer exposure surface.",Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E5,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,Yosys,dependency_exposure,oldest_static_tpl_update,2010,static third-party libraries,Table 2,not_assigned_yet,"Table 2 reports that the oldest static third-party library update associated with Yosys is from 2010, indicating legacy dependency exposure.",Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E6,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,Yosys,dependency_exposure,shared_tpl_maintainers,552,shared third-party libraries,Table 2,not_assigned_yet,"Table 2 reports 552 maintainers associated with Yosys shared third-party libraries, indicating broad shared-library maintainer exposure.",Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E7,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,Yosys,dependency_exposure,oldest_shared_tpl_update,2012,shared third-party libraries,Table 2,not_assigned_yet,"Table 2 reports that the oldest shared third-party library update associated with Yosys is from 2012, indicating legacy shared-library exposure.",Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E8,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,Yosys,library_exposure,figure3_tool_specific_library_exposure,present,readline; libedit; libncursesw; libffi; libz; libtcl8/libtcl; libbsd; graphviz; xdot; bigint; cxxopts; dlfcn-win32; ezsat; fst; json11; minisat_internal; subcircuit; sha1; libtinfo,"Figure 3, T2",not_assigned_yet,Figure 3 shows T2-labeled library exposure for Yosys at the logic synthesis stage.,Grouped Figure 3 evidence row; T2 corresponds to Yosys.
E9,not_mapped_yet,not_mapped_yet,stage_3_post_synthesis_verification,Yosys,library_exposure,figure3_tool_specific_library_exposure,present,GHDL; MiniSAT,"Figure 3, T2",not_assigned_yet,Figure 3 shows T2-labeled Yosys-related library exposure at the post-synthesis verification stage.,Grouped Figure 3 evidence row; T2 corresponds to Yosys.
E10,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,Yosys,tool_behavior,artifact_and_config_access,present,design artifacts and configuration files,Table 1,not_assigned_yet,"Table 1 records artifact and configuration access for Yosys, which supports the feasibility of software-side manipulation reaching the logic synthesis stage.",Raw empirical evidence row; this captures Table 1 tool-behavior evidence for Yosys.
E11,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,ABC,tpl_percentage,shared_tpl_percent,16.67,shared third-party libraries,Table 3,not_assigned_yet,Table 3 reports 16.67 percent shared third-party library usage for ABC.,Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E12,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,ABC,static_linking,static_tpl_percent,0,static third-party libraries,Table 3,not_assigned_yet,"Table 3 reports 0.00 percent static third-party library usage for ABC, so this metric does not show static-linking exposure for ABC.",Raw empirical evidence row; this is still useful as absence/low evidence for later mapping.
E13,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,ABC,cve_exposure,high_risk_cves,0,third-party libraries,Table 2,not_assigned_yet,Table 2 reports no high-risk CVEs for ABC third-party libraries in this dataset.,Raw empirical evidence row; this records low/absence evidence for later feasibility mapping.
E14,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,ABC,dependency_exposure,shared_tpl_maintainers,1,shared third-party libraries,Table 2,not_assigned_yet,"Table 2 reports 1 maintainer associated with ABC shared third-party libraries, indicating a smaller shared dependency-maintainer exposure surface than Yosys.",Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E15,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,ABC,dependency_exposure,oldest_shared_tpl_update,2012,shared third-party libraries,Table 2,not_assigned_yet,"Table 2 reports that the oldest shared third-party library update associated with ABC is from 2012, indicating some legacy shared-library exposure.",Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E16,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,ABC,library_exposure,figure3_tool_specific_library_exposure,present,readline; libedit; CUDD,"Figure 3, T1",not_assigned_yet,Figure 3 shows T1-labeled library exposure for ABC at the logic synthesis stage.,Grouped Figure 3 evidence row; T1 corresponds to ABC.
E17,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,ABC,dependency_exposure,static_tpl_maintainers,1,static third-party libraries,Table 2,not_assigned_yet,Table 2 reports 1 maintainer associated with ABC static third-party libraries.,Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E18,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,ABC,dependency_exposure,oldest_static_tpl_update,2016,static third-party libraries,Table 2,not_assigned_yet,Table 2 reports that the oldest static third-party library update associated with ABC is from 2016.,Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E19,not_mapped_yet,not_mapped_yet,stage_2_logic_synthesis,ABC,tool_behavior,artifact_and_config_access,present,design artifacts and configuration files,Table 1,not_assigned_yet,"Table 1 records artifact and configuration access for ABC, supporting feasibility of software-side manipulation at logic synthesis.",Raw empirical evidence row; this captures Table 1 tool-behavior evidence for ABC.
E20,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenSTA,tpl_percentage,shared_tpl_percent,11.1,shared third-party libraries,Table 3,not_assigned_yet,Table 3 reports 11.10 percent shared third-party library usage for OpenSTA.,Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E21,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenSTA,static_linking,static_tpl_percent,5.37,static third-party libraries,Table 3,not_assigned_yet,Table 3 reports 5.37 percent static third-party library usage for OpenSTA.,Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E22,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenSTA,cve_exposure,high_risk_cves,6 CVEs at 9.8; 2 CVEs at 8.8; 3 CVEs at 7.8,third-party libraries,Table 2,not_assigned_yet,"Table 2 reports high-risk CVE exposure for OpenSTA third-party libraries, supporting dependency-related feasibility.",Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E23,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenSTA,dependency_exposure,shared_tpl_maintainers,156,shared third-party libraries,Table 2,not_assigned_yet,Table 2 reports 156 maintainers associated with OpenSTA shared third-party libraries.,Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E24,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenSTA,dependency_exposure,oldest_shared_tpl_update,2022,shared third-party libraries,Table 2,not_assigned_yet,Table 2 reports that the oldest shared third-party library update associated with OpenSTA is from 2022.,Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E25,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenSTA,dependency_exposure,static_tpl_maintainers,572,static third-party libraries,Table 2,not_assigned_yet,"Table 2 reports 572 maintainers associated with OpenSTA static third-party libraries, indicating broad static dependency-maintainer exposure.",Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E26,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenSTA,dependency_exposure,oldest_static_tpl_update,2015,static third-party libraries,Table 2,not_assigned_yet,"Table 2 reports that the oldest static third-party library update associated with OpenSTA is from 2015, indicating legacy static dependency exposure.",Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E27,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenSTA,library_exposure,figure3_tool_specific_library_exposure,present,CUDD; libz; libtcl8/libtcl; Eigen; glu-2.2,"Figure 3, T3",not_assigned_yet,Figure 3 shows T3-labeled library exposure for OpenSTA at the static timing analysis stage.,Grouped Figure 3 evidence row; T3 corresponds to OpenSTA.
E28,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenTimer,tpl_percentage,shared_tpl_percent,12.5,shared third-party libraries,Table 3,not_assigned_yet,Table 3 reports 12.50 percent shared third-party library usage for OpenTimer.,Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E29,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenTimer,static_linking,static_tpl_percent,0.17,static third-party libraries,Table 3,not_assigned_yet,Table 3 reports 0.17 percent static third-party library usage for OpenTimer.,Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E30,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenTimer,cve_exposure,high_risk_cves,0,third-party libraries,Table 2,not_assigned_yet,Table 2 reports no high-risk CVEs for OpenTimer third-party libraries in this dataset.,Raw empirical evidence row; this records low/absence evidence for later feasibility mapping.
E31,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenTimer,dependency_exposure,shared_tpl_maintainers,94,shared third-party libraries,Table 2,not_assigned_yet,Table 2 reports 94 maintainers associated with OpenTimer shared third-party libraries.,Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E32,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenTimer,dependency_exposure,oldest_shared_tpl_update,2022,shared third-party libraries,Table 2,not_assigned_yet,Table 2 reports that the oldest shared third-party library update associated with OpenTimer is from 2022.,Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E33,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenTimer,dependency_exposure,static_tpl_maintainers,1,static third-party libraries,Table 2,not_assigned_yet,Table 2 reports 1 maintainer associated with OpenTimer static third-party libraries.,Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E34,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenTimer,dependency_exposure,oldest_static_tpl_update,2018,static third-party libraries,Table 2,not_assigned_yet,Table 2 reports that the oldest static third-party library update associated with OpenTimer is from 2018.,Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E35,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenTimer,library_exposure,figure3_tool_specific_library_exposure,present,libtcl8/libtcl; basic json,"Figure 3, T5",not_assigned_yet,Figure 3 shows T5-labeled library exposure for OpenTimer at the static timing analysis stage.,Grouped Figure 3 evidence row; T5 corresponds to OpenTimer.
E33,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenTimer,dependency_exposure,static_tpl_maintainers,1,static third-party libraries,Table 2,not_assigned_yet,Table 2 reports 1 maintainer associated with OpenTimer static third-party libraries.,Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E34,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenTimer,dependency_exposure,oldest_static_tpl_update,2018,static third-party libraries,Table 2,not_assigned_yet,Table 2 reports that the oldest static third-party library update associated with OpenTimer is from 2018.,Raw empirical evidence row; model-layer mapping will be added after evidence collection.
E35,not_mapped_yet,not_mapped_yet,stage_6_static_timing_analysis,OpenTimer,library_exposure,figure3_tool_specific_library_exposure,present,libtcl8/libtcl; basic json,"Figure 3, T5",not_assigned_yet,Figure 3 shows T5-labeled library exposure for OpenTimer at the static timing analysis stage.,Grouped Figure 3 evidence row; T5 corresponds to OpenTimer.
