model_layer,model_category,supporting_evidence_ids,direct_mapping_count,indirect_mapping_count,feasibility_level,summary_rationale
A_sw,vulnerability_or_configuration_exploitation,"E2; E3; E22; E26; E34; E41; E43",4,3,High,"CVE exposure, high static/shared third-party library usage, and legacy dependency evidence support vulnerability/configuration exploitation as a strongly supported software-side attack category."
A_sw,build_or_toolchain_compromise,"E36; E48; E45; E46; E47",5,0,High,"Shell-injection and third-party tool invocation evidence directly support build/toolchain compromise as a strongly supported software supply-chain category."
A_sw,trusted_identity_or_maintainer_compromise,"E4; E6; E23; E25; E31; E42",0,6,Medium,"Maintainer-count evidence indirectly supports trusted identity or maintainer compromise because larger maintainer/dependency exposure can increase the number of trusted identities in the software supply-chain surface."
A_sw,package_introduction_or_misselection,none_in_v1,0,0,Low,"The current evidence pass uses tool behavior, dependency exposure, CVEs, TPL percentages, and Figure 3 library exposure; it does not directly measure package introduction, package confusion, typosquatting, or package misselection."
A_sw,source_repository_or_code_tampering,none_in_v1,0,0,Low,"The current evidence pass does not directly include repository compromise, source-code tampering, or malicious commits."
A_sw,distribution_hosting_or_update_compromise,none_in_v1,0,0,Low,"The current evidence pass does not directly measure package hosting, mirrors, downloads, or update-channel compromise."
A_sw,signing_or_verification_compromise,none_in_v1,0,0,Low,"The current evidence pass does not directly measure signature verification, signing keys, release integrity checks, or verification bypasses."
M_sw,consumed_software_behavior_control,"E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39",10,2,High,"TPL percentage, Figure 3 library exposure, and artifact/config access evidence strongly support the capability where consumed software components can influence tool behavior."
M_sw,vulnerability_or_configuration_based_control,"E3; E22; E41",3,0,High,"High-risk CVE evidence from Yosys, OpenSTA, and OpenLane directly supports vulnerability/configuration-based software control as a strongly supported capability."
M_sw,build_or_toolchain_execution_control,"E36; E37; E48; E45; E46; E47",6,0,High,"Shell-injection and third-party tool invocation evidence directly support toolchain execution control across HLS, verification, placement/routing, and signoff-related tools."
M_sw,trusted_project_or_maintainer_access,"E4; E6; E23; E25; E31; E42",0,6,Medium,"Maintainer-count evidence indirectly supports trusted project or maintainer access because larger dependency-maintainer exposure increases the trusted identity surface."
M_sw,source_or_repository_modification,none_in_v1,0,0,Low,"The current evidence pass does not directly measure source repository modification, malicious commits, or repository write access."
M_sw,developer_or_maintainer_environment_control,none_in_v1,0,0,Low,"The current evidence pass does not directly measure developer machines, maintainer environments, credentials, or local build environments."
M_sw,distribution_or_update_path_control,none_in_v1,0,0,Low,"The current evidence pass does not directly measure update channels, mirrors, package hosting, binary distribution, or download compromise."
M_sw,signing_or_verification_control,none_in_v1,0,0,Low,"The current evidence pass does not directly measure signing keys, signature checks, verification bypasses, or release authentication."
A_vlsi,design_tampering_or_malicious_modification,"E2; E10; E19",0,3,Medium,"Static dependency exposure and artifact/config access in synthesis tools indirectly support design tampering because compromised tool behavior may modify or reinterpret design inputs."
A_vlsi,access_abuse_or_system_disruption,"E10; E49; E50",0,3,Medium,"Artifact/configuration access in synthesis, DFT, and manufacturing-test tools indirectly supports access abuse or disruption because software-side manipulation can reach important design/test artifacts."
A_vlsi,hardware_trojan_backdoor_or_logic_bomb,E2,0,1,Low,"High static dependency exposure in Yosys indirectly supports Trojan/backdoor plausibility, but this evidence alone does not directly show Trojan insertion or trigger behavior."
A_vlsi,information_leakage_or_asset_exposure,none_in_v1,0,0,Low,"No direct evidence row in this v1 mapping is attached to information leakage yet; this category should be supported later through case-study evidence or file-access/leakage-specific evidence."
A_vlsi,ip_theft_misuse_or_counterfeiting,none_in_v1,0,0,Low,"The current evidence pass does not directly include IP theft, unauthorized copying, counterfeit use, or design-asset exfiltration evidence."
A_vlsi,side_channel_fault_or_physical_attack,none_in_v1,0,0,Low,"The current evidence pass does not directly measure side-channel leakage, fault injection, physical attack behavior, or physical-trigger conditions."
A_vlsi,hls_induced_security_vulnerability,none_in_v1,0,0,Low,"Although HLS tools appear in the raw evidence, this v1 mapping does not directly show HLS-specific security vulnerability insertion or HLS semantic transformation errors."
A_vlsi,ic_replacement_or_substitution,none_in_v1,0,0,Low,"The current evidence pass does not directly measure IC replacement, chip substitution, or physical/manufacturing substitution evidence."
